day,direction,reason,dte,S0,S1,intrinsic_pnl,net0_10,net1_10,mtm_10,net0_12,net1_12,mtm_12,net0_15,net1_15,mtm_15,net0_20,net1_20,mtm_20
2025-01-02,LONG,TARGET,0,23833.1,23883.1,42.5,1.66,3.24,1.59,-1.35,0.34,1.69,-5.01,-3.36,1.65,-9.31,-7.86,1.44
2025-01-16,SHORT,STOP,0,23310.85,23335.85,-7.5,1.8,2.06,0.27,-1.32,-1.44,-0.12,-5.09,-5.44,-0.35,-9.47,-9.91,-0.43
2025-02-19,LONG,STOP,1,22989.1,22964.1,-7.5,-4.58,-5.83,-1.26,-7.43,-8.67,-1.24,-10.55,-11.68,-1.13,-13.88,-14.82,-0.93
2025-02-20,LONG,HARD_EXIT,0,22874.7,22919.3,37.09999999999855,-0.42,19.3,19.72,-3.87,19.3,23.17,-7.62,19.3,26.92,-11.65,19.3,30.95
2025-02-21,SHORT,TARGET,6,22813.65,22763.65,42.5,-13.41,-13.25,0.16,-15.3,-15.17,0.14,-17.25,-17.14,0.11,-19.27,-19.19,0.09
2025-02-27,SHORT,STOP,0,22538.4,22563.4,-7.5,0.94,4.08,3.15,-2.49,1.16,3.65,-6.36,-2.63,3.74,-10.65,-7.29,3.36
2025-04-23,SHORT,TARGET,1,24305.9,24255.9,42.5,-5.86,-5.09,0.77,-8.66,-7.96,0.7,-11.69,-11.09,0.6,-14.91,-14.43,0.48
2025-04-30,LONG,STOP,2,24364.1,24339.1,-7.5,-10.59,-8.34,2.25,-12.83,-10.82,2.01,-15.13,-13.43,1.7,-17.47,-16.14,1.33
2025-05-05,LONG,STOP,3,24503.65,24478.65,-7.5,-11.82,-9.91,1.9,-13.87,-12.18,1.68,-15.96,-14.55,1.41,-18.09,-16.99,1.1
2025-05-05,SHORT,STOP,3,24434.6,24459.6,-7.5,-12.24,-10.19,2.05,-14.31,-12.51,1.8,-16.44,-14.93,1.5,-18.63,-17.46,1.17
2025-05-20,SHORT,STOP,2,24894.05,24919.05,-7.5,-10.35,-8.16,2.19,-12.67,-10.7,1.97,-15.08,-13.4,1.68,-17.57,-16.25,1.32
2025-06-11,LONG,TARGET,1,25145.7,25195.7,42.5,-6.5,-5.82,0.68,-9.21,-8.6,0.61,-12.09,-11.57,0.52,-15.11,-14.7,0.41
2025-06-12,SHORT,TARGET,0,25093.25,25043.25,42.5,-0.69,1.28,1.97,-3.98,-2.09,1.88,-7.65,-5.97,1.69,-11.69,-10.3,1.39
2025-07-02,SHORT,TARGET,1,25534.1,25484.1,42.5,-8.42,-7.7,0.72,-11.01,-10.37,0.63,-13.7,-13.17,0.53,-16.51,-16.09,0.41
2025-07-09,LONG,STOP,1,25517.4,25492.4,-7.5,-8.49,-5.76,2.73,-11.02,-8.53,2.49,-13.64,-11.5,2.14,-16.34,-14.64,1.7
2025-07-10,SHORT,TARGET,0,25426.6,25376.6,42.5,-2.47,-0.43,2.04,-5.75,-3.89,1.86,-9.29,-7.68,1.61,-13.05,-11.76,1.28
2025-07-17,SHORT,TARGET,0,25189.05,25139.05,42.5,-1.12,0.88,2.0,-4.41,-2.53,1.88,-8.06,-6.39,1.67,-12.04,-10.67,1.36
2025-08-06,SHORT,STOP,1,24620.1,24645.1,-7.5,-5.02,-6.22,-1.2,-7.85,-9.03,-1.18,-10.95,-12.02,-1.07,-14.3,-15.18,-0.88
2025-08-08,SHORT,TARGET,6,24477.2,24427.2,42.5,-16.17,-16.05,0.12,-17.67,-17.56,0.1,-19.19,-19.1,0.09,-20.75,-20.68,0.07
